Total Water Withdrawals (bcm),GDP (current US$),Agriculture Water Withdrawals (%),Water Stress Level (%),Domestic Water Withdrawals (%),Water Productivity (2015 US$ GDP per cubic meter),Average Precipitation (mm per year),Renewable Internal Water Resources (bcm),Industry Water Withdrawals (%),Total Population,Year,Country
85.128,2.42497E+11,90.03522452,21.61926046,3.940800769,2.848612089,1522,885,6.023974709,17870124,2015,Chile
51.97,9.38953E+11,85.1881474,38.60209463,10.21594522,15.67719255,593,227,4.59590738,78112073,2014,Turkiye
29.197,1.65142E+12,58.93213204,85.22183304,24.63628979,56.09651945,1274,64.85,16.43157817,51764822,2019,"Korea, Rep."
85.128,2.95403E+11,90.88662342,21.61926046,3.985171455,3.055126022,1522,885,5.128205128,18701450,2018,Chile
0.001014286,2588176055,0,3.380952381,94.91525424,3072.794825,1972,0.03,5.084745763,361575,2010,Maldives
49.16,14307509839,90,140.9807858,7.321428571,0.830515887,206,16.34,2.678571429,26167000,2005,Uzbekistan
27.865,8103901996,94.29777492,143.5600206,2.700865708,0.475511931,161,1.405,3.001359376,4885775,2005,Turkmenistan
1.9327,1.19814E+11,1.098094901,29.39020681,37.11710894,74.23607955,677,13.15,61.78479616,10197101,2004,Czechia
41.469625,6.81337E+11,84.34563374,30.80266285,12.36534495,14.23524069,593,227,3.289021316,70468869,2007,Turkiye
0.005075,897031250,0,16.91666667,96.41434263,396.0351763,1972,0.03,3.585657371,292284,2002,Maldives
1.5433,9774307336,76.71889162,2.692428472,18.51612068,6.736553109,2280,156.21,4.764987699,5942553,2011,Nicaragua
0.2708,9681500000,45.215311,38.62501783,47.84688995,40.92466765,402,0.812,6.937799043,3786161,2010,West Bank and Gaza
12.167,47112941176,92.3563738,53.72930007,3.295800115,4.298915263,447,8.115,4.347826087,9939771,2018,Azerbaijan
0.6836,37917704900,10.51784669,0.226883505,68.00760679,55.46767832,1543,900,21.47454652,78656904,2015,"Congo, Dem. Rep."
27.865,40765428571,94.29777492,143.5600206,2.700865708,1.543189126,161,1.405,3.001359376,6065066,2018,Turkmenistan
0.698107143,8975599436,63.5770235,77.3183235,32.11488251,27.7168388,111,0.682,4.308093995,5163310,2001,Jordan
